school,vacancies,applicants,subrate,postcode,latitude,longitude
Ai Tong School,20,53,2.65,579646,1.3605834338904,103.833020333986
Anglo-Chinese School (Junior),31,50,1.61,227988,1.30935041274966,103.840950265464
Anglo-Chinese School (Primary),29,34,1.17,309918,1.31837054523521,103.835609732354
Catholic High School,20,38,1.9,579767,1.3547230747166,103.844874676599
CHIJ Primary (Toa Payoh) ,20,42,2.1,319765,1.33275264711587,103.841847263786
CHIJ St. Nicholas Girls' School,20,35,1.75,569405,1.37347687878916,103.834253269436
Chongfu School,21,53,2.52,768959,1.43839562897006,103.839309173817
Fairfield Methodist School (Primary),22,33,1.5,139648,1.30100441916733,103.785455606827
Henry Park Primary School,21,27,1.29,278790,1.31667646178347,103.784296227747
Holy Innocents' Primary School,20,57,2.85,536451,1.36693830877349,103.894114899795
Kong Hwa School,36,71,1.97,399772,1.31099674009193,103.888352029067
Kuo Chuan Presbyterian Primary School,21,30,1.43,579793,1.34939813669536,103.855018233311
Maris Stella High School (Primary),32,44,1.38,539786,1.34218395739981,103.87809644863
Methodist Girls' School (Primary),25,50,2.0,599986,1.33266213599636,103.783382114018
Nan Chiau Primary School,44,112,2.55,545080,1.39221149906592,103.891180928186
Nan Hua Primary School,20,39,1.95,128806,1.31920159956387,103.761095065761
Nanyang Primary School,20,50,2.5,268097,1.32107094241153,103.807681852799
Pasir Ris Primary School,20,21,1.05,518968,1.37245132722087,103.962922699031
Pei Chun Public School,27,30,1.11,319320,1.33677864390672,103.855341310212
Pei Hwa Presbyterian Primary School,20,22,1.1,597610,1.33807302121151,103.776250903095
Princess Elizabeth Primary School,20,22,1.1,659163,1.34919098857585,103.740719208011
Red Swastika School,20,23,1.15,469719,1.33405659580859,103.934317528484
Rosyth School,20,29,1.45,555855,1.3728583654058,103.87477170399
Rulang Primary School,20,37,1.85,649295,1.34673868889096,103.718457955487
Singapore Chinese Girls' Primary School,20,35,1.75,309437,1.3206340835184,103.828164966953
South View Primary School,20,21,1.05,689762,1.38143123987698,103.747153671
St. Anthony's Primary School ,36,39,1.08,659401,1.36411948475833,103.749251919049
St. Hilda's Primary School,20,33,1.65,529706,1.34967978969837,103.937016363397
St. Joseph's Institution Junior,42,65,1.55,309331,1.31781476118551,103.845633334522
Tao Nan School,31,62,2.0,449761,1.30528528687321,103.911553152326
